line_id,text,score,detector_text,detector_score,crop_source,crop_h,crop_w,line_height_px,detector_box
54,12,0.9999786615371704,12,0.9982011318206787,rapidocr_box,88,128,88,"[[1657.44, 2366.5], [1786.02, 2366.5], [1786.02, 2454.6], [1657.44, 2454.6]]"
55,K,0.2922978103160858,E,0.5544074773788452,rapidocr_box,24,21,24,"[[1777.22, 2377.07], [1798.35, 2377.07], [1798.35, 2401.74], [1777.22, 2401.74]]"
56,6personines,0.990291178226471,6personnes.,0.938890432769602,rapidocr_box,37,148,37,"[[1838.86, 2382.35], [1986.82, 2387.64], [1985.06, 2424.65], [1837.1, 2419.36]]"
57,95,0.9994617700576782,95,0.9992730915546417,rapidocr_box,35,44,35,"[[1773.69, 2408.79], [1817.73, 2408.79], [1817.73, 2444.03], [1773.69, 2444.03]]"
58,525g,0.8998980522155762,525g,0.9645770788192749,rapidocr_box,38,74,38,"[[1838.86, 2408.79], [1912.84, 2412.31], [1911.08, 2451.08], [1837.1, 2447.55]]"
59,Soitiekg 24.67,0.9498663544654846,Soit lekg24.67,0.9585658056395394,rapidocr_box,42,184,42,"[[1835.34, 2440.5], [2020.28, 2444.03], [2020.28, 2486.32], [1835.34, 2482.79]]"
60,$QUI,0.7301729917526245,GGUFS,0.6373803615570068,rapidocr_box,30,95,30,"[[928.24, 2463.41], [1023.35, 2466.94], [1021.59, 2496.89], [926.48, 2493.37]]"
61,AtOwr,0.7631019949913025,27.04.7,0.7333610653877258,rapidocr_box,24,54,24,"[[937.05, 2546.23], [991.65, 2546.23], [991.65, 2570.9], [937.05, 2570.9]]"
62,BLOcDEFoIE,0.9618477821350098,BLOCDEFOIE,0.9958858668804169,rapidocr_box,37,207,37,"[[392.78, 2586.76], [600.62, 2590.28], [600.62, 2627.29], [392.78, 2623.76]]"
63,s,0.6803653836250305,3,0.977912425994873,rapidocr_box,52,45,52,"[[140.91, 2630.81], [186.7, 2630.81], [186.7, 2683.67], [140.91, 2683.67]]"
64,"181,",0.7230466604232788,18,0.9859578609466553,rapidocr_box,52,96,52,"[[265.97, 2622.0], [362.84, 2622.0], [362.84, 2674.86], [265.97, 2674.86]]"
65,GRSEcaNRD,0.9108026027679443,GRASDECANARD,0.9949056257804235,rapidocr_box,35,271,35,"[[392.78, 2623.76], [664.03, 2627.29], [664.03, 2662.53], [392.78, 2659.0]]"
66,LEMBLEMAOuE,0.9394726157188416,L'EMBLEMATIQUE,0.9706406806196485,rapidocr_box,40,273,40,"[[389.26, 2655.48], [662.27, 2662.53], [662.27, 2703.06], [389.26, 2696.01]]"
67,iiFRANCE,0.940658450126648,FRANCE,0.9738542139530182,rapidocr_box,126,394,126,"[[1669.77, 2644.91], [2064.32, 2659.0], [2059.03, 2785.88], [1664.49, 2771.78]]"
68,Les6,0.9983065128326416,Les6,0.9792963564395905,rapidocr_box,38,82,38,"[[877.16, 2671.34], [959.94, 2674.86], [958.18, 2713.63], [875.4, 2710.1]]"
69,cleSrewn isu,0.6926745176315308,deremise,0.9352746233344078,rapidocr_box,24,89,24,"[[123.3, 2699.53], [213.12, 2699.53], [213.12, 2724.2], [123.3, 2724.2]]"
70,EENLARNAudIE,0.824540376663208,JEANLARNAUDIE,0.9919697000430181,rapidocr_box,40,276,40,"[[385.74, 2690.72], [662.27, 2696.01], [662.27, 2736.54], [385.74, 2731.25]]"
71,Iemurrue ellico te,0.6903747320175171,mmediote,0.949358344078064,rapidocr_box,29,105,29,"[[118.01, 2718.92], [223.69, 2718.92], [223.69, 2748.87], [118.01, 2748.87]]"
72,3,0.9999780654907227,30,0.8778654038906097,rapidocr_box,118,150,118,"[[836.65, 2706.58], [986.36, 2690.72], [998.69, 2808.78], [848.98, 2824.64]]"
73,170g,0.9093927145004272,170g,0.9676832556724548,rapidocr_box,38,83,38,"[[387.5, 2727.73], [470.28, 2734.77], [466.76, 2773.54], [383.98, 2766.49]]"
74,6oEUFSCUITSTEINTEs,0.927541196346283,6OEUFSCUITSTEINTES,0.9753935403294034,rapidocr_box,40,308,40,"[[1021.59, 2747.11], [1329.83, 2750.63], [1329.83, 2791.16], [1021.59, 2787.64]]"
75,SoitleKg :94606,0.9275946021080017,Soit lekg:9406,0.9676430480820792,rapidocr_box,42,234,42,"[[387.5, 2764.73], [621.76, 2768.25], [621.76, 2810.54], [387.5, 2807.02]]"
