image_path,n_boxes,mean_conf,gt_chars,pred_chars,doc_similarity
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0052.jpg,56,0.9812482398739097,625,584,0.8089330024813896
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1438.jpg,64,0.985082857928731,664,626,0.8201550387596899
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0049.jpg,66,0.981164750057676,736,686,0.7735583684950773
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0957.jpg,103,0.984257793368872,1094,1023,0.6603684459140293
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1078.jpg,57,0.9854132335892092,639,596,0.7206477732793523
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0126.jpg,67,0.983609273940471,758,714,0.7010869565217391
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0081.jpg,47,0.9857817167046082,504,475,0.8008171603677222
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0924.jpg,45,0.9872122020495948,474,446,0.9021739130434783
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0820.jpg,67,0.983237420678064,799,737,0.7434895833333334
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1117.jpg,87,0.9808627079246591,1027,960,0.571716155007549
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0141.jpg,56,0.9834122164302699,606,571,0.7578589634664401
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0181.jpg,65,0.9855583930230432,665,621,0.7402799377916018
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1301.jpg,91,0.987362771907452,870,830,0.7458823529411764
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0139.jpg,65,0.9837602628040101,666,628,0.8578052550231839
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0462.jpg,67,0.9825988718661745,750,710,0.7684931506849315
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_3/batch1-1069.jpg,67,0.9840481543948586,766,706,0.7635869565217391
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_1/batch1-0083.jpg,67,0.9838727696253274,752,702,0.5818431911966988
/teamspace/studios/this_studio/Promy_raw/datasets/High-Quality Invoice Images for OCR/batch_1/batch_1/batch1_2/batch1-0692.jpg,106,0.9838237692381951,1170,1082,0.6101243339253997
