epoch,epoch_raw,train_loss,val_loss,val_acc,val_norm_edit_dis,val_cer_proxy,val_precision,val_recall,val_hmean
2,1,19.79889165625,,0.6713814059160421,0.9135725388348769,0.08642746116512312,,,
3,2,3.11959409375,,0.8764913330545167,0.9849615722283279,0.01503842777167208,,,
4,3,1.9198078437500001,,0.8946499583947438,0.9872518373777605,0.012748162622239545,,,
5,4,1.4428275937500001,,0.9050423947981382,0.9888235932948111,0.011176406705188935,,,
6,5,1.1466094999999998,,0.90625,0.988532,0.011468000000000034,,,
7,6,0.95710428125,,0.927734,0.99107,0.008929999999999993,,,
8,7,0.78498290625,,0.933594,0.992701,0.0072990000000000554,,,
9,8,0.6547970937500001,,0.943359,0.994009,0.005990999999999969,,,
10,9,0.5729288125,,0.943359,0.992955,0.007044999999999968,,,
11,10,0.48992028125,,0.945312,0.993979,0.006021000000000054,,,
12,11,0.418878875,,0.945312,0.993777,0.0062229999999999785,,,
13,12,0.35457978125,,0.960937,0.995258,0.004742000000000024,,,
14,13,0.30746018750000004,,0.960937,0.995427,0.004573000000000049,,,
15,14,0.2567400625,,0.9431229830632839,0.9939982033413208,0.0060017966586791704,,,
16,15,0.253878125,,0.957031,0.995329,0.004670999999999981,,,
17,16,0.19475809375,,0.96875,0.996917,0.003082999999999947,,,
18,17,0.16074065625,,0.976562,0.996837,0.003163000000000027,,,
19,18,0.14454640624999998,,0.9501763334020499,0.9947067822060204,0.005293217793979621,,,
20,19,0.154356,,0.974609,0.997221,0.002778999999999976,,,
21,20,0.20741971875,,0.957031,0.99552,0.0044800000000000395,,,
22,21,0.15535775000000002,,0.974609,0.996963,0.0030369999999999564,,,
23,22,0.1286321875,,0.970703,0.997044,0.0029559999999999587,,,
24,23,0.092253375,,0.974609,0.9975,0.0024999999999999467,,,
25,24,0.07518965625,,0.9541532224228434,0.9951596646414315,0.004840335358568537,,,
26,25,0.07269190625,,0.982422,0.997444,0.0025560000000000027,,,
27,26,0.05832896875,,0.982422,0.998101,0.001898999999999984,,,
28,27,0.06558115625,,0.9554663461561242,0.9953531406348618,0.004646859365138201,,,
29,28,0.08746265624999999,,0.976562,0.997171,0.0028289999999999704,,,
30,29,0.14868084375,,0.958984,0.995855,0.004144999999999954,,,
31,30,0.14068671875,,0.935547,0.993568,0.006431999999999993,,,
32,31,0.118639625,,0.976562,0.997083,0.0029169999999999474,,,
33,32,0.07014353125,,0.988281,0.997853,0.00214700000000001,,,
34,33,0.04078434375,,0.980469,0.998111,0.0018890000000000295,,,
35,34,0.03341178125000001,,0.986328,0.997941,0.002059000000000033,,,
36,35,0.0327126875,,0.988281,0.997987,0.0020130000000000425,,,
37,36,0.02823903125,,0.9580550758017352,0.9957634129546497,0.0042365870453503485,,,
38,37,0.039293687499999994,,0.986328,0.997911,0.0020890000000000075,,,
39,38,0.040569187500000006,,0.982422,0.997745,0.002255000000000007,,,
40,39,0.16311109375,,0.966797,0.99676,0.0032400000000000206,,,
41,40,0.07277915625,,0.984375,0.997377,0.002623000000000042,,,
